                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.81332,                0.60032,                  0.804,                0.79553,                 0.7227,                0.79651,                0.59961,                0.79501,                0.63024,                0.80641,                0.00769,                0.00769,                0.00769
                     38,                0.81002,                0.59029,                0.80898,                0.78387,                 0.7445,                0.80324,                0.60597,                0.79431,                0.62049,                0.80574,               0.007624,               0.007624,               0.007624
                     39,                 0.8141,                0.59222,                 0.8083,                0.79509,                0.73566,                0.80842,                0.60581,                0.79558,                0.61802,                0.80753,               0.007558,               0.007558,               0.007558
                     40,                0.80303,                0.59072,                0.80393,                0.79711,                0.74359,                  0.808,                0.60478,                0.79304,                0.62775,                 0.8049,               0.007492,               0.007492,               0.007492
                     41,                0.81341,                0.59479,                0.80678,                0.79439,                0.72449,                0.80398,                0.60185,                0.79673,                0.61982,                0.80538,               0.007426,               0.007426,               0.007426
                     42,                 0.8224,                0.59489,                0.80605,                0.79978,                 0.7455,                0.80831,                0.61037,                0.79618,                0.61347,                0.80679,                0.00736,                0.00736,                0.00736
                     43,                0.81336,                0.59464,                0.80587,                 0.8149,                0.74366,                0.81733,                0.61348,                0.79679,                0.60459,                 0.8062,               0.007294,               0.007294,               0.007294
                     44,                0.80181,                 0.5781,                0.80648,                0.81648,                0.73888,                0.80977,                 0.6108,                0.79044,                0.60693,                0.80514,               0.007228,               0.007228,               0.007228
                     45,                0.80317,                 0.5871,                0.80443,                0.81676,                0.74657,                0.81432,                0.61421,                0.78773,                0.59798,                0.80425,               0.007162,               0.007162,               0.007162
                     46,                0.80222,                0.57145,                0.80554,                0.80351,                0.74785,                0.81292,                0.61014,                0.79254,                0.59718,                0.80394,               0.007096,               0.007096,               0.007096
                     47,                0.81189,                0.57082,                0.80381,                0.81777,                0.74723,                0.81837,                0.61572,                0.79001,                 0.6018,                0.80414,                0.00703,                0.00703,                0.00703
                     48,                0.80022,                0.56897,                0.80416,                 0.7978,                0.76174,                0.81842,                0.61538,                0.79108,                0.60326,                0.80403,               0.006964,               0.006964,               0.006964
                     49,                0.79482,                0.55908,                0.80643,                  0.808,                 0.7568,                0.82456,                0.62379,                0.78179,                0.59296,                0.80507,               0.006898,               0.006898,               0.006898
                     50,                0.79393,                 0.5696,                0.80418,                0.80615,                0.76165,                0.82111,                0.61928,                0.78351,                0.59051,                0.80426,               0.006832,               0.006832,               0.006832
                     51,                0.77833,                0.55168,                0.80741,                0.80321,                0.75606,                0.81565,                0.61311,                0.78419,                0.59876,                0.80408,               0.006766,               0.006766,               0.006766
                     52,                 0.7978,                0.55408,                0.80572,                0.78026,                0.75693,                0.82191,                 0.6194,                0.78581,                0.60788,                0.80349,                 0.0067,                 0.0067,                 0.0067
                     53,                0.78366,                0.54506,                0.80384,                0.80351,                0.76323,                0.82649,                0.62264,                0.78044,                0.59118,                0.80317,               0.006634,               0.006634,               0.006634
                     54,                0.77532,                0.54324,                0.80498,                 0.8295,                0.73623,                 0.8268,                0.62442,                0.78176,                0.58734,                0.80409,               0.006568,               0.006568,               0.006568
                     55,                 0.7799,                0.54627,                0.80119,                0.82834,                0.74149,                0.82558,                0.62581,                0.77703,                0.58618,                0.80272,               0.006502,               0.006502,               0.006502
                     56,                0.77322,                0.54385,                0.80163,                   0.79,                 0.7844,                0.82575,                0.62431,                0.77503,                0.58047,                0.80237,               0.006436,               0.006436,               0.006436
                     57,                0.77589,                0.54349,                0.80164,                 0.8064,                0.76443,                0.82724,                0.62468,                0.77062,                0.59123,                0.80201,                0.00637,                0.00637,                0.00637
                     58,                0.76918,                0.53116,                0.80454,                 0.8141,                0.76266,                0.83184,                0.63465,                0.77286,                0.57537,                0.80314,               0.006304,               0.006304,               0.006304
                     59,                0.78836,                0.53299,                0.80228,                 0.8197,                0.76121,                0.82854,                0.62909,                 0.7739,                 0.5874,                0.80272,               0.006238,               0.006238,               0.006238
                     60,                0.76895,                0.53155,                0.80337,                0.79333,                0.77744,                 0.8302,                0.63198,                0.77399,                0.57742,                0.80276,               0.006172,               0.006172,               0.006172
                     61,                0.76617,                0.52557,                0.80196,                0.81202,                0.75742,                0.82634,                0.62676,                0.77528,                0.57753,                0.80266,               0.006106,               0.006106,               0.006106
                     62,                 0.7702,                0.51651,                0.80204,                0.83454,                 0.7421,                 0.8301,                 0.6298,                0.77245,                0.58022,                0.80197,                0.00604,                0.00604,                0.00604
                     63,                0.76795,                0.52303,                0.80013,                0.80082,                0.78041,                0.83249,                0.63472,                0.76642,                0.57292,                0.80159,               0.005974,               0.005974,               0.005974
                     64,                0.76358,                0.51218,                0.79738,                0.84964,                0.75249,                0.83828,                0.63962,                0.76996,                0.56903,                0.80153,               0.005908,               0.005908,               0.005908
                     65,                0.75586,                0.51298,                0.80161,                0.82736,                0.75673,                0.83492,                0.63139,                0.77286,                0.57661,                0.80238,               0.005842,               0.005842,               0.005842
                     66,                0.75865,                0.51471,                0.80018,                0.81663,                0.76506,                0.83675,                0.63492,                0.77018,                0.56805,                  0.802,               0.005776,               0.005776,               0.005776
                     67,                0.75778,                0.50952,                0.79948,                0.83933,                0.75237,                0.83567,                0.63547,                0.76719,                0.56841,                0.80158,                0.00571,                0.00571,                0.00571
                     68,                0.75765,                0.51052,                0.80152,                0.83757,                0.75541,                0.83519,                0.63557,                0.76554,                0.56909,                0.80158,               0.005644,               0.005644,               0.005644
